"Open Houses","Photo","MLS","AR","S","Address","City","BR","Baths(FTHQ)","SqFt","Lot Sz","YB","LP","SP","Lease Terms","Furnished","DOM"
"","58","25536789","12","LD","13700   Marina Pointe Dr #1609","Marina Del Rey","1","2.00 (1 0 1 0)","996","124,611","2003","$4,495","$4,300","1+Year","Unfurnished","33"
"","54","25521131","12","LD","13700   Marina Pointe Dr #627","Marina Del Rey","1","1.00 (1 0 0 0)","854","124,705","2003","$4,495","$4,295","1+Year","Unfurnished","70"
"","16","OC24246956MR","12","LD","13337   Beach AVE #310","MARINA DEL REY","3","2.00 (2 0 0 0)","1,556","0","2013","$4,495","$4,495","1-Year","Unfurnished","129"
"","41","IV25130479MR","12","LD","4215   Glencoe AVE #129","MARINA DEL REY","1","2.00 (2 0 0 0)","1,220","79,638","2008","$4,500","$3,500","1-Year,Negotiable","Furnished","8"
"","32","25520231","12","LD","13700   MARINA POINTE DR #1206","MARINA DEL REY","1","1.00 (1 0 0 0)","891","0","2003","$4,500","$4,350","1+Year","Unfurnished","72"
"","66","25516311","12","LD","4337   Marina City  #1147","Marina Del Rey","1","1.00 (0 1 0 0)","","1,050","","$4,500","$4,500","1+Year","Furnished","5"
"","22","25510931","12","LD","4080   Glencoe Ave #310","Marina Del Rey","2","2.00 (2 0 0 0)","1,260","11,334","2011","$4,500","$4,500","1+Year","Unfurnished","11"
"","17","25495691","12","LD","4764   La Villa Marina  #B","Marina Del Rey","2","3.00 (1 1 1 0)","1,823","66,563","1967","$4,500","$4,500","1+Year,1-Year","Furnished","66"
"","19","24-468711","12","LD","13350   Maxella Ave #3","Marina Del Rey","2","2.00 (2 0 0 0)","1,057","552,201","1974","$4,500","$4,500","1+Year","Unfurnished","89"
"","19","24-450003","12","LD","13322   MAXELLA AVE #7","MARINA DEL REY","2","2.00 (1 1 0 0)","1,057","552,170","1974","$4,500","$4,500","1-Year","Unfurnished","7"
"","17","24-396459","12","LD","20   Catamaran St #104","Marina Del Rey","1","1.00 (1 0 0 0)","808","8,741","1985","$4,500","$4,500","1+Year,Negotiable,6 Months","Both","82"
"","1","24-395613","12","LD","4782   La Villa Marina  #A","Marina Del Rey","2","3.00 (2 0 1 0)","1,582","66,582","1968","$4,500","$4,400","1+Year","Unfurnished","5"
"","23","24-447933","12","LD","4055  S REDWOOD AVE #111","MARINA DEL REY","2","2.00 (1 1 0 0)","1,282","70,343","2006","$4,525","$4,525","1+Year","Unfurnished","0"
"","5","24-429223","12","LD","4758   La Villa Marina  #B","Marina Del Rey","2","3.00 (2 0 1 0)","1,582","66,581","1967","$4,550","$4,550","1+Year","Unfurnished","10"
"","30","24-413843","12","LD","4720   LA VILLA MARINA  #J","MARINA DEL REY","2","3.00 (1 1 1 0)","1,582","66,564","1966","$4,550","$4,300","1-Year","Unfurnished","40"
"","12","25513231","12","LD","11800   Courtleigh Dr #206","Los Angeles","2","2.00 (2 0 0 0)","1,350","14,868","2023","$4,550","$4,550","1+Year","Unfurnished","49"
"","57","24-352041","12","LD","13700   Marina Pointe Dr #1409","MARINA DEL REY","1","2.00 (1 0 1 0)","996","124,611","2003","$4,595","$4,595","1+Year","Unfurnished","74"
"","57","24-406377","12","LD","13700   Marina Pointe Dr #406","Marina Del Rey","1","1.00 (1 0 0 0)","891","124,670","2003","$4,600","$4,600","1+Year","Furnished","102"
"","29","24-442141","12","LD","30   Driftwood St #2","Marina Del Rey","2","2.00 (2 0 0 0)","1,152","6,953","1973","$4,600","$4,300","1+Year","Unfurnished","37"
"","17","24-377187","12","LD","4764   La Villa Marina  #B","Marina Del Rey","2","3.00 (1 1 1 0)","1,823","66,563","1967","$4,650","$5,000","1+Year,1-Year","Furnished","42"
"","59","25528465","12","LD","13700   Marina Pointe Dr #1606","Marina Del Rey","1","1.00 (1 0 0 0)","891","124,670","2003","$4,675","$4,700","1+Year","Unfurnished","16"
"","21","25546323","12","LD","306   Bora Bora Way #106","Marina Del Rey","2","2.00 (2 0 0 0)","1,420","100,552","1978","$4,700","$4,700","1+Year","Unfurnished","6"
"","42","25545749","12","LD","13700   Marina Pointe Dr #720","Marina Del Rey","1","2.00 (1 0 1 0)","993","124,705","2003","$4,700","$4,700","1+Year","Unfurnished","28"
"","1","OC24224959MR","12","LD","840   Dickson ST ","MARINA DEL REY","2","1.00 (1 0 0 0)","950","2,793","1954","$4,700","$4,700","","Unfurnished","31"
"","13","SB24165288MR","12","LD","4161   Michael AVE ","LOS ANGELES","2","2.00 (1 0 1 0)","865","5,496","1950","$4,700","$4,700","","Unfurnished","4"
"","20","24-449413","12","LD","306   Bora Bora Way #110","Marina Del Rey","2","2.00 (2 0 0 0)","1,452","100,437","1978","$4,700","$4,250","1+Year","Unfurnished","54"
"","41","24-449809","12","LD","4265   Marina City DR #909","MARINA DEL REY","2","2.00 (1 1 0 0)","1,422","1,422","1972","$4,700","$4,500","1+Year","Unfurnished","12"
"","49","24-423199","12","LD","4141   Glencoe Ave #211","Marina Del Rey","2","2.00 (2 0 0 0)","1,220","39,391","2008","$4,700","$4,700","1-Year","Unfurnished","12"
"","17","25-479627","12","LD","13326   Beach Ave #202","Marina Del Rey","1","2.00 (2 0 0 0)","1,280","13,284","2007","$4,700","$4,700","1+Year","Unfurnished","46"
"","28","SR24114909MR","12","LD","4050   Glencoe AVE #403","MARINA DEL REY","2","2.00 (2 0 0 0)","1,390","59,240","2007","$4,750","$4,500","","Unfurnished","9"
"","35","81954358ML","12","LD","11386   Tenino AVE ","Los Angeles","3","1.00 (1 0 0 0)","1,142","5,645","1947","$4,750","$5,700","Deposit Required","","92"
"","51","25514973","12","LD","13700   MARINA POINTE DR #1019","MARINA DEL REY","1","2.00 (1 0 1 0)","959","124,670","2003","$4,750","$4,750","Negotiable","Unfurnished","46"
"","30","25530677","12","LD","13337   Beach Ave #207","Marina Del Rey","2","2.00 (2 0 0 0)","1,095","13,761","2013","$4,800","$4,800","1+Year,12 Months,Negotiable,24 Months","Unfurnished","53"
"","45","24-465731","12","LD","13700   MARINA POINTE DR #828","MARINA DEL REY","1","2.00 (1 0 1 0)","1,428","0","2003","$4,800","$4,800","1+Year","Unfurnished","14"
"","36","24-352361","12","LD","13700   Marina Pointe Dr #919","Marina Del Rey","1","2.00 (2 0 0 0)","959","124,670","2003","$4,800","$4,700","1+Year,Negotiable","Unfurnished","83"
"","16","25525353","12","LD","4140   Glencoe Ave #412","Marina Del Rey","2","2.00 (2 0 0 0)","1,178","39,485","2016","$4,830","$4,900","6 Months,Negotiable","Furnished","18"
"","28","25498633","12","LD","4771   La Villa Marina  #M","Marina Del Rey","2","3.00 (2 0 1 0)","1,582","87,578","1968","$4,900","$4,900","1+Year","Unfurnished","5"
"","1","24-373759","12","LD","306   Bora Bora Way #202","Venice","1","2.00 (2 0 0 0)","1,497","100,437","1978","$4,900","$3,950","12 Months,1-Year,6 Months,Negotiable,Other","Furnished","37"
"","1","24-384535","12","LD","13344  W Washington Blvd ","MARINA DEL REY","2","4.00 (2 0 2 0)","1,636","8,001","2013","$4,900","$4,700","1+Year","Unfurnished","49"
"","45","24-459769","12","LD","11370   Nutmeg Ave ","Los Angeles","3","2.00 (2 0 0 0)","1,410","5,630","1939","$4,900","$4,500","1+Year","Unfurnished","32"
