Open Houses,Photo,MLS,AR,Type,S,Address,City,BR,Baths(FTHQ),SqFt,LP $/SqFt,LP,SP,HOD,Lot Sz,YB,DOM,latitude,longitude,unit_count
,,COMP24139653,11,C/C,S,37   26TH AVE #B,VENICE,2,3.00 (3 0 0 0),1291,"$1,320.68","$1,705,000","$1,705,000",,"2,640",1992.0,0,33.9821148,-118.4684828,
,,COMP24140306,11,C/C,S,540   VERNON AVE ,VENICE,2,2.00 (2 0 0 0),1764,"$1,006.24","$1,775,000","$1,775,000",,"4,530",2009.0,0,33.996108,-118.471155,
,61.0,OC24065497MR,11,C/C,S,62   Ozone AVE ,VENICE,3,4.00 (4 0 0 0),2450,$918.37,"$2,250,000","$2,250,000",$0.00,"4,495",2017.0,44,33.9959762,-118.479702,
,32.0,PV24236291MR,11,C/C,S,700   Main ST #23,VENICE,1,1.00 (1 0 0 0),1330,$973.68,"$1,295,000","$1,295,000",$674.00,"26,081",2008.0,127,33.9938851,-118.4755524,
,19.0,PV25105168MR,11,C/C,S,700  S Main ST #20,VENICE,1,1.00 (1 0 0 0),1597,$750.16,"$1,198,000","$1,210,000",$701.00,"26,075",2008.0,27,33.9895491,-118.4722358,
,30.0,SB24000547MR,11,C/C,S,59   Rose AVE #1,VENICE,2,2.00 (2 0 0 0),1302,$997.70,"$1,299,000","$1,299,000",$400.00,"5,379",1974.0,2,33.9953674,-118.4793332,
,34.0,SB24086380MR,11,C/C,S,245   Main ST #111,VENICE,2,2.00 (2 0 0 0),1188,$837.54,"$995,000","$1,060,000",$763.00,"73,400",1989.0,9,33.9968384,-118.4786277,
,66.0,SB24177276MR,11,C/C,S,646   Flower AVE #3,VENICE,3,4.00 (3 0 1 0),1970,$938.58,"$1,849,000","$1,775,000",$333.00,"5,794",2000.0,40,33.9988537,-118.4701358,
,37.0,SB25049514MR,11,C/C,S,255   Main ST #103,VENICE,2,2.00 (2 0 0 0),1188,$837.54,"$995,000","$990,000",$820.00,"73,400",1989.0,44,33.9947218,-118.4766585,
,35.0,SB25053576MR,11,C/C,S,245   Main ST #108,VENICE,2,2.00 (1 1 0 0),1245,$871.49,"$1,085,000","$1,069,000",$873.00,"73,400",1989.0,18,33.9968384,-118.4786277,
,44.0,SR23217766MR,11,C/C,S,3007   Ocean Front WALK ,VENICE,3,3.00 (3 0 0 0),2060,"$1,450.49","$2,988,000","$2,750,000",$600.00,"2,518",2008.0,215,33.9795093,-118.4670993,
,32.0,SW24147684MR,11,C/C,S,2500   Abbot Kinney BLVD #13,VENICE,2,3.00 (2 0 1 0),976,"$1,075.82","$1,050,000","$1,000,000",$576.00,"23,440",1985.0,124,33.988242,-118.456703,
,47.0,SW24229358MR,11,C/C,S,2500   Abbot Kinney BLVD #2,VENICE,2,3.00 (2 0 1 0),939,"$1,118.21","$1,050,000","$1,005,000",$576.00,"23,440",1985.0,72,33.988242,-118.456703,
